,French,English
0,partie,part
1,chercher,search
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,laisser,let
10,car,because
11,mettre,to put
12,laisse,leash
13,eux,them
14,ville,city
15,chaque,each
16,parlé,speak
17,arrivé,come
18,devrait,should
19,bébé,baby
20,longtemps,long time
21,heures,hours
22,vont,will
23,pendant,while
24,revoir,meet again
25,place,square
26,parle,speak
27,compris,understood
28,savais,knew
29,étaient,were
30,attention,Warning
31,voici,here is
32,pourrais,could
33,affaire,case
34,donner,give
35,type,type
36,leurs,their
37,donné,given
38,train,train
39,corps,body
40,endroit,place
41,yeux,eyes
42,façon,way
43,écoute,listen
44,premier,first
45,perdu,lost
46,main,hand
47,première,first
48,côté,side
49,tiens,here
50,matin,morning
51,enfant,child
52,point,point
53,venu,came
54,suite,after
55,pardon,sorry
56,devant,in front of
57,vers,towards
58,minutes,minutes
59,demandé,request
60,chambre,bedroom
61,mis,placed
62,belle,beautiful
63,droit,law
64,mari,husband
65,cause,cause
66,enfin,finally
67,espère,hope
68,eau,water
69,attendez,Wait
70,nouvelle,new
71,boulot,job
72,arrêter,Stop
73,dirait,would say
74,terre,Earth
75,compte,account
76,loin,far
77,fin,end
78,croire,believe
79,chérie,sweetheart
80,gros,large
81,plutôt,rather
82,aura,will have
83,filles,girls
84,jouer,to play
85,bureau,office
